component_name,component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_sn_score_l,metaValue_sn_score_u,metaValue_var_xcorr_coelution_l,metaValue_var_xcorr_coelution_u,metaValue_var_xcorr_coelution_weighted_l,metaValue_var_xcorr_coelution_weighted_u,metaValue_var_xcorr_shape_l,metaValue_var_xcorr_shape_u,metaValue_var_xcorr_shape_weighted_l,metaValue_var_xcorr_shape_weighted_u
asp-L.asp-L_2.Light,asp-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
glu-L.glu-L_1.Heavy,glu-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
glu-L.glu-L_1.Light,glu-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
glu-L.glu-L_2.Light,glu-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
skm.skm_1.Heavy,skm,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
skm.skm_1.Light,skm,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
skm.skm_2.Light,skm,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
glx.glx_1.Heavy,glx,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
glx.glx_1.Light,glx,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
glyclt.glyclt_1.Heavy,glyclt,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
glyclt.glyclt_1.Light,glyclt,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
glyclt.glyclt_2.Light,glyclt,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
trp-L.trp-L_1.Heavy,trp-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
trp-L.trp-L_1.Light,trp-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
trp-L.trp-L_2.Light,trp-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
5oxpro.5oxpro_1.Heavy,5oxpro,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
5oxpro.5oxpro_1.Light,5oxpro,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
5oxpro.5oxpro_2.Light,5oxpro,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
lac-L.lac-L_1.Heavy,lac-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
lac-L.lac-L_1.Light,lac-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
lac-L.lac-L_2.Light,lac-L,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
urate.urate_1.Heavy,urate,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
urate.urate_1.Light,urate,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
urate.urate_2.Light,urate,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
gthrd.gthrd_1.Heavy,gthrd,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
gthrd.gthrd_1.Light,gthrd,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
gthrd.gthrd_2.Light,gthrd,1,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,10,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
