ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
glyclt,,glyclt,glyclt.glyclt_1.Light,3.165740018,,75,Unit,47,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
glyclt,,glyclt,glyclt.glyclt_2.Light,3.165740018,,75,Unit,45,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
trp-L,,trp-L,trp-L.trp-L_1.Heavy,3.55389798,,214,Unit,124,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
trp-L,,trp-L,trp-L.trp-L_1.Light,3.561922311,,203,Unit,116,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
trp-L,,trp-L,trp-L.trp-L_2.Light,3.561922311,,203,Unit,74,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
5oxpro,,5oxpro,5oxpro.5oxpro_1.Heavy,3.63,,133,Unit,86,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
5oxpro,,5oxpro,5oxpro.5oxpro_1.Light,3.63,,128,Unit,82,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
5oxpro,,5oxpro,5oxpro.5oxpro_2.Light,3.63,,128,Unit,84,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
lac-D,,lac-D,lac-D.lac-D_1.Heavy,3.64,,92,Unit,45,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
lac-D,,lac-D,lac-D.lac-D_1.Light,3.64,,89,Unit,43,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
lac-D,,lac-D,lac-D.lac-D_2.Light,3.64,,89,Unit,45,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
urate,,urate,urate.urate_1.Heavy,3.511888615,,172,Unit,128,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
urate,,urate,urate.urate_1.Light,3.511888615,,167,Unit,124,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
urate,,urate,urate.urate_2.Light,3.511888615,,167,Unit,42,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gthrd,,gthrd,gthrd.gthrd_1.Heavy,3.919685543,,316,Unit,148,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gthrd,,gthrd,gthrd.gthrd_1.Light,3.921582335,,306,Unit,143,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gthrd,,gthrd,gthrd.gthrd_2.Light,3.921582335,,306,Unit,272,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
nad,,nad,nad.nad_1.Heavy,4.643812874,,683,Unit,555,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
nad,,nad,nad.nad_1.Light,4.645409111,,662,Unit,540,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
nad,,nad,nad.nad_2.Light,4.645409111,,662,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
pyr,,pyr,pyr.pyr_1.Heavy,4.719502662,,90,Unit,45,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
pyr,,pyr,pyr.pyr_1.Light,4.724697646,,87,Unit,43,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
pyr,,pyr,pyr.pyr_2.Light,4.724697646,,87,Unit,32,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
g3p,,g3p,g3p.g3p_1.Heavy,6.67,,172.001,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
g3p,,g3p,g3p.g3p_1.Light,6.67,,169.001,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
g3p,,g3p,g3p.g3p_2.Light,6.76,,169.001,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
g6p,,g6p,g6p.g6p_1.Heavy,6.697478715,,265,Unit,203,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
g6p,,g6p,g6p.g6p_1.Light,6.69282641,,259,Unit,199,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
g6p,,g6p,g6p.g6p_2.Heavy,6.697478715,,265,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,2,FALSE,FALSE,TRUE
g6p,,g6p,g6p.g6p_2.Light,6.69282641,,259,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
r5p,,r5p,r5p.r5p_1.Heavy,6.712324587,,234,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
r5p,,r5p,r5p.r5p_1.Light,6.706360722,,229,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
r5p,,r5p,r5p.r5p_2.Light,6.706360722,,229,Unit,139,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
f6p,,f6p,f6p.f6p_1.Heavy,7.223877596,,265.001,Unit,172,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
f6p,,f6p,f6p.f6p_1.Light,7.223877596,,259.001,Unit,169,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
f6p,,f6p,f6p.f6p_2.Light,7.223877596,,259.001,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
s7p,,s7p,s7p.s7p_1.Heavy,7.237978896,,296,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
s7p,,s7p,s7p.s7p_1.Light,7.222632699,,289,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
s7p,,s7p,s7p.s7p_2.Light,7.222632699,,289,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
glyc3p,,glyc3p,glyc3p.glyc3p_1.Heavy,7.346873521,,174,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
glyc3p,,glyc3p,glyc3p.glyc3p_1.Light,7.347787601,,171,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
glyc3p,,glyc3p,glyc3p.glyc3p_2.Light,7.347787601,,171,Unit,63,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
g1p,,g1p,g1p.g1p_1.Heavy,7.863602357,,265.002,Unit,247,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
g1p,,g1p,g1p.g1p_1.Light,7.863602357,,259.002,Unit,241,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
g1p,,g1p,g1p.g1p_2.Light,7.863602357,,259.002,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
ru5p-D,,ru5p-D,ru5p-D.ru5p-D_1.Heavy,8.407623313,,234.001,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ru5p-D,,ru5p-D,ru5p-D.ru5p-D_1.Light,8.407623313,,229.001,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ru5p-D,,ru5p-D,ru5p-D.ru5p-D_2.Light,8.407623313,,229.001,Unit,139,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
cmp,,cmp,cmp.cmp_1.Heavy,8.291250738,,331.001,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
cmp,,cmp,cmp.cmp_1.Light,8.29825088,,322.2,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
cmp,,cmp,cmp.cmp_2.Light,8.29825088,,322,Unit,278,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
