sample_name,component_name,IS_component_name,actual_concentration,IS_actual_concentration,concentration_units,dilution_factor
AAmix_5ug_mL_2_Emission_1,GhostPeak,,5,1,ug/mL,1
AAmix_10ug_mL_2_Emission_1,GhostPeak,,10,1,ug/mL,1
AAmix_25ug_mL_2_Emission_1,GhostPeak,,25,1,ug/mL,1
AAmix_50ug_mL_2_Emission_1,GhostPeak,,50,1,ug/mL,1
AAmix_75ug_mL_2_Emission_1,GhostPeak,,75,1,ug/mL,1
AAmix_0p25ug_mL_2_Emission_1,GhostPeak,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_2_Emission_1,GhostPeak,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_2_Emission_1,Valine,,0.5,1,ug/mL,1
AAmix_1ug_mL_2_Emission_1,Valine,,1,1,ug/mL,1
AAmix_2p5ug_mL_2_Emission_1,Valine,,2.5,1,ug/mL,1
AAmix_5ug_mL_2_Emission_1,Valine,,5,1,ug/mL,1
AAmix_10ug_mL_2_Emission_1,Valine,,10,1,ug/mL,1
AAmix_25ug_mL_2_Emission_1,Valine,,25,1,ug/mL,1
AAmix_50ug_mL_2_Emission_1,Valine,,50,1,ug/mL,1
AAmix_75ug_mL_2_Emission_1,Valine,,75,1,ug/mL,1
AAmix_0p25ug_mL_2_Emission_1,Valine,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_2_Emission_1,Valine,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_2_Emission_1,Methionine,,0.5,1,ug/mL,1
AAmix_1ug_mL_2_Emission_1,Methionine,,1,1,ug/mL,1
AAmix_2p5ug_mL_2_Emission_1,Methionine,,2.5,1,ug/mL,1
AAmix_5ug_mL_2_Emission_1,Methionine,,5,1,ug/mL,1
AAmix_10ug_mL_2_Emission_1,Methionine,,10,1,ug/mL,1
AAmix_25ug_mL_2_Emission_1,Methionine,,25,1,ug/mL,1
AAmix_50ug_mL_2_Emission_1,Methionine,,50,1,ug/mL,1
AAmix_75ug_mL_2_Emission_1,Methionine,,75,1,ug/mL,1
AAmix_0p25ug_mL_2_Emission_1,Methionine,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_2_Emission_1,Methionine,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_2_Emission_1,Tryptophan,,0.5,1,ug/mL,1
AAmix_1ug_mL_2_Emission_1,Tryptophan,,1,1,ug/mL,1
AAmix_2p5ug_mL_2_Emission_1,Tryptophan,,2.5,1,ug/mL,1
AAmix_5ug_mL_2_Emission_1,Tryptophan,,5,1,ug/mL,1
AAmix_10ug_mL_2_Emission_1,Tryptophan,,10,1,ug/mL,1
AAmix_25ug_mL_2_Emission_1,Tryptophan,,25,1,ug/mL,1
AAmix_50ug_mL_2_Emission_1,Tryptophan,,50,1,ug/mL,1
AAmix_75ug_mL_2_Emission_1,Tryptophan,,75,1,ug/mL,1
AAmix_0p25ug_mL_2_Emission_1,Tryptophan,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_2_Emission_1,Tryptophan,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_2_Emission_1,Phenylalanine,,0.5,1,ug/mL,1
AAmix_1ug_mL_2_Emission_1,Phenylalanine,,1,1,ug/mL,1
AAmix_2p5ug_mL_2_Emission_1,Phenylalanine,,2.5,1,ug/mL,1
AAmix_5ug_mL_2_Emission_1,Phenylalanine,,5,1,ug/mL,1
AAmix_10ug_mL_2_Emission_1,Phenylalanine,,10,1,ug/mL,1
AAmix_25ug_mL_2_Emission_1,Phenylalanine,,25,1,ug/mL,1
AAmix_50ug_mL_2_Emission_1,Phenylalanine,,50,1,ug/mL,1
AAmix_75ug_mL_2_Emission_1,Phenylalanine,,75,1,ug/mL,1
AAmix_0p25ug_mL_2_Emission_1,Phenylalanine,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_2_Emission_1,Phenylalanine,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_2_Emission_1,Isoleucine,,0.5,1,ug/mL,1
AAmix_1ug_mL_2_Emission_1,Isoleucine,,1,1,ug/mL,1
AAmix_2p5ug_mL_2_Emission_1,Isoleucine,,2.5,1,ug/mL,1
AAmix_5ug_mL_2_Emission_1,Isoleucine,,5,1,ug/mL,1
AAmix_10ug_mL_2_Emission_1,Isoleucine,,10,1,ug/mL,1
AAmix_25ug_mL_2_Emission_1,Isoleucine,,25,1,ug/mL,1
AAmix_50ug_mL_2_Emission_1,Isoleucine,,50,1,ug/mL,1
AAmix_75ug_mL_2_Emission_1,Isoleucine,,75,1,ug/mL,1
AAmix_0p25ug_mL_2_Emission_1,Isoleucine,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_2_Emission_1,Isoleucine,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_2_Emission_1,Leucine,,0.5,1,ug/mL,1
AAmix_1ug_mL_2_Emission_1,Leucine,,1,1,ug/mL,1
AAmix_2p5ug_mL_2_Emission_1,Leucine,,2.5,1,ug/mL,1
AAmix_5ug_mL_2_Emission_1,Leucine,,5,1,ug/mL,1
AAmix_10ug_mL_2_Emission_1,Leucine,,10,1,ug/mL,1
AAmix_25ug_mL_2_Emission_1,Leucine,,25,1,ug/mL,1
AAmix_50ug_mL_2_Emission_1,Leucine,,50,1,ug/mL,1
AAmix_75ug_mL_2_Emission_1,Leucine,,75,1,ug/mL,1
AAmix_0p25ug_mL_2_Emission_1,Leucine,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_2_Emission_1,Leucine,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_2_Emission_1,Lysine,,0.5,1,ug/mL,1
AAmix_1ug_mL_2_Emission_1,Lysine,,1,1,ug/mL,1
AAmix_2p5ug_mL_2_Emission_1,Lysine,,2.5,1,ug/mL,1
AAmix_5ug_mL_2_Emission_1,Lysine,,5,1,ug/mL,1
AAmix_10ug_mL_2_Emission_1,Lysine,,10,1,ug/mL,1
AAmix_25ug_mL_2_Emission_1,Lysine,,25,1,ug/mL,1
AAmix_50ug_mL_2_Emission_1,Lysine,,50,1,ug/mL,1
AAmix_75ug_mL_2_Emission_1,Lysine,,75,1,ug/mL,1
AAmix_0p25ug_mL_2_Emission_1,Lysine,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_2_Emission_1,Lysine,,0.1,1,ug/mL,1
